id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,HubName,HubDist
"7129300520",10/13/2014,221900,"3",1,"1180","5650",1,,NONE,Average,7 Average,"1180","0.0","1955",0,"98178",47.5112,-122.257,"1340","5650",Pharmacy:Rite Aid,2.53731428484817
"6414100192",12/9/2014,538000,"3",2.25,"2570","7242",2,false,NONE,Average,7 Average,"2170","400.0","1951",1991,"98125",47.721,-122.319,"1690","7639",Pharmacy,1.93668040908379
"5631500400",2/25/2015,180000,"2",1,"770","10000",1,false,NONE,Average,6 Low Average,"770","0.0","1933",,"98028",47.7379,-122.233,"2720","8062",Pharmacy,3.28071209737459
"2487200875",12/9/2014,604000,"4",3,"1960","5000",1,false,NONE,Very Good,7 Average,"1050","910.0","1965",0,"98136",47.5208,-122.393,"1360","5000",Pharmacy:Rite Aid,1.30788022962078
"1954400510",2/18/2015,510000,"3",2,"1680","8080",1,false,NONE,Average,8 Good,"1680","0.0","1987",0,"98074",47.6168,-122.045,"1800","7503",Pharmacy:Bartell Drug Company,4.82636629571518
"7237550310",5/12/2014,1230000,"4",4.5,"5420","101930",1,false,NONE,Average,11 Excellent,"3890","1530.0","2001",0,"98053",47.6561,-122.005,"4760","101930",Pharmacy:Bartell Drug Company,5.10548693038873
"1321400060",6/27/2014,257500,"3",2.25,"1715","6819",2,false,NONE,Average,7 Average,"1715",?,"1995",0,"98003",47.3097,-122.327,"2238","6819",Pharmacy:Ranko's,6.50141751996218
"2008000270",1/15/2015,291850,"3",1.5,"1060","9711",1,false,,Average,7 Average,"1060","0.0","1963",0,"98198",47.4095,-122.315,"1650","9711",Pharmacy:Bartells,7.64910613892222
"2414600126",4/15/2015,229500,"3",1,"1780","7470",1,false,NONE,Average,7 Average,"1050","730.0","1960",0,"98146",47.5123,-122.337,"1780","8113",Pharmacy:Bartells,0.834387494259542
"3793500160",3/12/2015,323000,"3",2.5,"1890","6560",2,false,NONE,Average,7 Average,"1890","0.0","2003",0,"98038",47.3684,-122.031,"2390","7570",Pharmacy:Chuck's Drug,14.1998567288283
"1736800520",4/3/2015,662500,"3",2.5,"3560","9796",1,,NONE,Average,8 Good,"1860","1700.0","1965",0,"98007",47.6007,-122.145,"2210","8925",Pharmacy:Rite Aide,2.20376876181656
"9212900260",5/27/2014,468000,"2",1,"1160","6000",1,false,NONE,Good,7 Average,"860","300.0","1942",0,"98115",47.69,-122.292,"1330","6000",Pharmacy,1.20352377989011
"114101516",5/28/2014,310000,"3",1,"1430","19901",1.5,false,NONE,Good,7 Average,"1430","0.0","1927",,"98028",47.7558,-122.229,"1780","12697",Pharmacy,4.03429790232918
"6054650070",10/7/2014,400000,"3",1.75,"1370","9680",1,false,NONE,Good,7 Average,"1370","0.0","1977",0,"98074",47.6127,-122.045,"1370","10208",Pharmacy:Bartell Drug Company,5.04430771368889
"1175000570",3/12/2015,530000,"5",2,"1810","4850",1.5,false,NONE,Average,7 Average,"1810","0.0","1900",0,"98107",47.67,-122.394,"1360","4850",Pharmacy:Walgrens,0.809526629869778
"9297300055",1/24/2015,650000,"4",3,"2950","5000",2,false,GOOD,Average,9 Better,"1980","970.0","1979",0,"98126",47.5714,-122.375,"2140","4000",Pharmacy:Bartell Drug,0.866793359000135
"1875500060",7/31/2014,395000,"3",2,"1890","14040",2,false,NONE,Average,7 Average,"1890","0.0","1994",0,"98019",47.7277,-121.962,"1890","14018",Pharmacy:Bartell Drug Company,8.08359687604035
"6865200140",5/29/2014,485000,"4",1,"1600","4300",1.5,false,NONE,Good,7 Average,"1600","0.0","1916",0,"98103",47.6648,-122.343,"1610","4300",Pharmacy:Walgreens,2.01869331356563
"16000397",12/5/2014,189000,"2",1,"1200","9850",1,false,NONE,Good,7 Average,"1200",?,"1921",0,"98002",47.3089,-122.21,"1060","5095",Pharmacy:Rite Aid,16.0480127361616
"7983200060",4/24/2015,230000,"3",1,"1250","9774",1,false,NONE,Good,7 Average,"1250","0.0","1969",0,"98003",47.3343,-122.306,"1280","8850",Pharmacy:Ranko's,8.24234426248205
"6300500875",5/14/2014,385000,"4",1.75,"1620","4980",1,false,NONE,Good,7 Average,"860","760.0","1947",0,"98133",47.7025,-122.341,"1400","4980",Pharmacy:Walgreens,0.966716721645327
"2524049179",8/26/2014,2000000,"3",2.75,"3050","44867",1,false,EXCELLENT,Average,9 Better,"2330","720.0","1968",0,"98040",47.5316,-122.233,"4110","20336",Pharmacy:Rite Aid,0.742076566901727
"7137970340",7/3/2014,285000,"5",2.5,"2270","6300",2,false,NONE,Average,8 Good,"2270","0.0","1995",0,"98092",47.3266,-122.169,"2240","7005",Pharmacy:Chuck's Drug,13.1286020669696
"8091400200",5/16/2014,252700,"2",1.5,"1070","9643",1,,NONE,Average,7 Average,"1070","0.0","1985",,"98030",47.3533,-122.166,"1220","8386",Pharmacy:Rite Aid,13.2587460536132
"3814700200",11/20/2014,329000,"3",2.25,"2450","6500",2,false,NONE,Good,8 Good,"2450","0.0","1985",0,"98030",47.3739,-122.172,"2200","6865",Pharmacy:Rite Aid,11.808231772027
"1202000200",11/3/2014,233000,"3",2,"1710","4697",1.5,false,NONE,Very Good,6 Low Average,"1710","0.0","1941",0,"98002",47.3048,-122.218,"1030","4705",Pharmacy:Ranko's,11.1841513628638
"1794500383",6/26/2014,937000,"3",1.75,"2450","2691",2,false,NONE,Average,8 Good,"1750","700.0","1915",,"98119",47.6386,-122.36,"1760","3573",Pharmacy:Walgrens,2.19852124679895
"3303700376",12/1/2014,667000,"3",1,"1400","1581",1.5,false,NONE,Very Good,8 Good,"1400","0.0","1909",0,"98112",47.6221,-122.314,"1860","3861",Pharmacy:Wallgreens,0.129771529225695
"5101402488",6/24/2014,438000,"3",1.75,"1520","6380",1,false,NONE,Average,7 Average,"790","730.0","1948",,"98115",47.695,-122.304,"1520","6235",Pharmacy,0.641162550245578
"1873100390",3/2/2015,719000,"4",2.5,"2570","7173",2,false,NONE,Average,8 Good,"2570","0.0","2005",0,"98052",47.7073,-122.11,"2630","6026",Pharmacy:Bartell Drug Company,2.60060514099619
"8562750320",11/10/2014,580500,"3",2.5,"2320","3980",2,false,NONE,Average,8 Good,"2320","0.0","2003",0,"98027",47.5391,-122.07,"2580","3980",Pharmacy:Rite Aide,7.26099329680167
"2426039314",12/1/2014,280000,"2",1.5,"1190","1265",3,false,NONE,Average,7 Average,"1190","0.0","2005",0,"98133",47.7274,-122.357,"1390","1756",Pharmacy,2.01725610726018
"461000390",6/24/2014,687500,"4",1.75,"2330","5000",1.5,false,NONE,Good,7 Average,"1510","820.0","1929",0,"98117",47.6823,-122.368,"1460","5000",Pharmacy:Bob Johnson Pharmacy‎,0.6413727973677
"7589200193",11/10/2014,535000,"3",1,"1090","3000",1.5,false,NONE,Good,8 Good,"1090","0.0","1929",0,"98117",47.6889,-122.375,"1570","5080",Pharmacy:Bob Johnson Pharmacy‎,0.114396866782532
"7955080270",12/3/2014,322500,"4",2.75,"2060","6659",1,false,NONE,Average,7 Average,"1280","780.0","1981",0,"98058",47.4276,-122.157,"2020","8720",Pharmacy:Rite Aid,8.45885864875525
"9547205180",6/13/2014,696000,"3",2.5,"2300","3060",1.5,false,NONE,Average,8 Good,"1510","790.0","1930",2002,"98115",47.6827,-122.31,"1590","3264",Pharmacy,0.790533725239515
"9435300030",5/28/2014,550000,"4",1,"1660","34848",1,false,NONE,Poor,5 Fair,"930","730.0","1933",0,"98052",47.6621,-122.132,"2160","11467",Pharmacy:Bartell Drug Company,1.04949232426481
"2768000400",12/30/2014,640000,"4",2,"2360","6000",2,false,NONE,Good,8 Good,"2360","0.0","1904",0,"98107",47.6702,-122.362,"1730","4700",Pharmacy:Walgrens,0.70419093657006
"7895500070",2/13/2015,240000,"4",1,"1220","8075",1,false,NONE,Fair,7 Average,"890","330.0","1969",0,"98001",47.3341,-122.282,"1290","7800",Pharmacy:Ranko's,9.17529464823065
"2078500320",6/20/2014,605000,"4",2.5,"2620","7553",2,false,NONE,Average,8 Good,"2620","0.0","1996",0,"98056",47.5301,-122.18,"2620","11884",Pharmacy:Rite Aid,2.24578895228176
"5547700270",7/15/2014,625000,"4",2.5,"2570","5520",2,,NONE,Average,9 Better,"2570","0.0","2000",,"98074",47.6145,-122.027,"2470","5669",Pharmacy:Bartell Drug Company,5.52144616876264
"7766200013",8/11/2014,775000,"4",2.25,"4220","24186",1,false,NONE,Average,8 Good,"2600","1620.0","1984",0,"98166",47.445,-122.347,"2410","30617",Pharmacy:Bartells,4.99157161172959
"7203220400",7/7/2014,861990,"5",2.75,"3595","5639",2,false,NONE,Average,9 Better,"3595",?,"2014",0,"98053",47.6848,-122.016,"3625","5639",Pharmacy:Bartell Drug Company,4.62302283317902
"9270200160",10/28/2014,685000,"3",1,"1570","2280",2,false,NONE,Average,7 Average,"1570","0.0","1922",0,"98119",47.6413,-122.364,"1580","2640",Pharmacy:Walgrens,1.9605357683505
"1432701230",7/29/2014,309000,"3",1,"1280","9656",1,false,NONE,Good,6 Low Average,"920","360.0","1959",0,"98058",47.4485,-122.175,"1340","8808",Pharmacy:Rite Aid,6.80745071576278
"8035350320",7/18/2014,488000,"3",2.5,"3160","13603",2,false,NONE,Average,8 Good,"3160","0.0","2003",,"98019",47.7443,-121.977,"3050","9232",Pharmacy:Bartell Drug Company,8.15507739701593
"8945200830",3/25/2015,210490,"3",1,"990","8528",1,false,NONE,Average,6 Low Average,"990","0.0","1966",0,"98023",47.3066,-122.371,"1228","8840",Pharmacy:Ranko's,4.65102398465115
"4178300310",7/16/2014,785000,"4",2.5,"2290","13416",2,false,NONE,Good,9 Better,"2290","0.0","1981",0,"98007",47.6194,-122.151,"2680","13685",Pharmacy:Rite Aide,1.01312979926705
"9215400105",4/28/2015,450000,"3",1.75,"1250","5963",1,false,NONE,Good,7 Average,"1250","0.0","1953",0,"98115",47.6796,-122.301,"970","5100",Pharmacy,1.20089953839831
"822039084",3/11/2015,1350000,"3",2.5,"2753","65005",1,true,AVERAGE,Very Good,9 Better,"2165","588.0","1953",0,"98070",47.4041,-122.451,"2680","72513",Pharmacy:Ranko's,9.62537944445197
"5245600105",9/16/2014,228000,"3",1,"1190","9199",1,false,NONE,Average,7 Average,"1190","0.0","1955",0,"98148",47.4258,-122.322,"1190","9364",Pharmacy:Bartells,6.47770018783968
"7231300125",2/17/2015,345000,"5",2.5,"3150","9134",1,false,NONE,Good,8 Good,"1640","1510.0","1966",0,"98056",47.4934,-122.189,"1990","9133",Pharmacy:Rite Aid,3.69812192354857
"7518505990",12/31/2014,600000,"3",1.75,"1410","4080",1,false,NONE,Good,7 Average,"1000","410.0","1950",,"98117",47.6808,-122.384,"1410","4080",Pharmacy:Walgrens,0.782206652517958
"3626039271",2/5/2015,585000,"2",1.75,"1980","8550",1,false,NONE,Average,7 Average,"990","990.0","1981",0,"98117",47.6989,-122.369,"1480","6738",Pharmacy:Bob Johnson Pharmacy‎,0.632447219075583
"4217401195",3/3/2015,920000,"5",2.25,"2730","6000",1.5,false,NONE,Average,8 Good,"2130","600.0","1927",0,"98105",47.6571,-122.281,"2730","6000",Pharmacy:Wallgreens,2.73768218699084
"9822700295",5/12/2014,885000,"4",2.5,"2830","5000",2,,NONE,Average,9 Better,"2830","0.0","1995",0,"98105",47.6597,-122.29,"1950","5000",Pharmacy:Wallgreens,2.70248366845873
"9478500640",8/19/2014,292500,"4",2.5,"2250","4495",2,false,NONE,Average,7 Average,"2250","0.0","2008",,"98042",47.3663,-122.114,"2250","4500",Pharmacy:Rite Aid,13.1444410030847
"2799800710",4/7/2015,301000,"3",2.5,"2420","4750",2,false,NONE,Average,8 Good,"2420","0.0","2003",0,"98042",47.3663,-122.122,"2690","4750",Pharmacy:Rite Aid,13.0003456711933
"7922800400",8/27/2014,951000,"5",3.25,"3250","14342",2,false,EXCELLENT,Good,8 Good,"3250","0.0","1968",,"98008",47.588,-122.116,"2960","11044",Pharmacy:Rite Aide,3.29260238955572
